-------------------------------------------------------------------
You may only use the Microsoft .NET Core Debugger (vsdbg) with
Visual Studio Code, Visual Studio or Visual Studio for Mac software
to help you develop and test your applications.
-------------------------------------------------------------------
 > Map contains 814 nodes and a navigation instruction sequence of 271 steps, starting with LLRLRRRLLR.
 -            0 steps so far, currents: MLA, BQA, MJA, AAA, TGA, BJA; next step: LEFT
 -            1 steps so far, currents: VNL, VHX, CMV, TPN, RRG, XCH; next step: LEFT
 -            2 steps so far, currents: HMT, DKV, DRX, SGT, GPS, JKC; next step: RIGHT
 -            3 steps so far, currents: GSF, FDT, KTV, HPM, BHN, TNR; next step: LEFT
 -            4 steps so far, currents: JBL, VLS, MTG, GTF, NSL, GHQ; next step: RIGHT
 -            5 steps so far, currents: NNX, GHM, HQQ, QTV, PNC, DXP; next step: RIGHT
 -            6 steps so far, currents: MHD, GFN, CCH, FMV, XDR, HKP; next step: RIGHT
 -            7 steps so far, currents: TMR, HXB, HGM, LVX, FML, QDS; next step: LEFT
 -            8 steps so far, currents: VDC, KSG, VMG, CVM, BRB, TDG; next step: LEFT
 -            9 steps so far, currents: FNS, LLQ, FCK, BVJ, BJR, KTM; next step: RIGHT
 -           10 steps so far, currents: TDH, RLG, CKR, CBM, BPB, TRB; next step: RIGHT
 -           11 steps so far, currents: CNS, XMQ, QXQ, PSG, MKX, SCM; next step: RIGHT
 -           12 steps so far, currents: XLJ, CPQ, NSP, KTB, VQK, MSL; next step: LEFT
 -           13 steps so far, currents: FDQ, SHL, JFR, HRR, XCB, MCS; next step: RIGHT
 -           14 steps so far, currents: DJK, DPG, BGK, VQS, CXN, JNB; next step: RIGHT
 -           15 steps so far, currents: BPP, TSQ, LNS, NLR, DBL, LDJ; next step: LEFT
 -           16 steps so far, currents: LNV, PPC, QJN, CJK, XVQ, PQC; next step: RIGHT
 -           17 steps so far, currents: TJK, MRF, TGX, MKG, DML, NLQ; next step: RIGHT
 -           18 steps so far, currents: DTN, FVR, QFB, XFQ, NDF, JXP; next step: LEFT
 -           19 steps so far, currents: GXM, JGC, RKR, JNV, QBN, TDD; next step: RIGHT
 -           20 steps so far, currents: MBD, PGT, HMS, SLT, HCR, TPB; next step: LEFT
 -           21 steps so far, currents: DBQ, KXR, PBS, QMK, CVT, VBR; next step: RIGHT
 -           22 steps so far, currents: XLR, RSX, PPM, GCP, JFB, XDN; next step: RIGHT
 -           23 steps so far, currents: XSG, MKJ, DKB, PKP, XRL, MXB; next step: RIGHT
 -           24 steps so far, currents: SVL, VGR, XBP, JGX, LCB, VDG; next step: LEFT
 -           25 steps so far, currents: LJG, QJD, PSS, NVL, DDN, NBX; next step: RIGHT
 -           26 steps so far, currents: GHK, NVN, NBP, BVV, CHN, SDG; next step: RIGHT
 -           27 steps so far, currents: QRB, MGG, TMG, QQJ, RBV, FSC; next step: RIGHT
 -           28 steps so far, currents: BDQ, XCQ, KKQ, BGM, BSM, DRK; next step: LEFT
 -           29 steps so far, currents: MNS, HVJ, FCJ, RFC, TRL, NXD; next step: RIGHT
 -           30 steps so far, currents: MCT, GDD, JFC, GHB, XSV, LBQ; next step: LEFT
 -           31 steps so far, currents: XCM, BTK, HKK, JTN, KJK, LFP; next step: LEFT
 -           32 steps so far, currents: SJN, NLS, RQQ, QCX, DKK, JQS; next step: RIGHT
 -           33 steps so far, currents: XSX, RMX, PTF, DMB, KXH, JFJ; next step: LEFT
 -           34 steps so far, currents: RMJ, CJT, XPG, CLS, CBH, BHH; next step: RIGHT
 -           35 steps so far, currents: DMQ, BTQ, FPG, KPH, XXG, KSS; next step: RIGHT
 -           36 steps so far, currents: JLG, CGL, JQX, QMR, NSK, GJF; next step: LEFT
 -           37 steps so far, currents: GTJ, CNP, VVN, HRJ, FNC, CGM; next step: RIGHT
 -           38 steps so far, currents: HPP, GJR, VQB, CKG, JQL, BVH; next step: RIGHT
 -           39 steps so far, currents: JTJ, KCX, CXB, FNB, GVJ, KHF; next step: LEFT
 -           40 steps so far, currents: FNQ, KJD, NLP, LDN, GQB, DJX; next step: RIGHT
 -           41 steps so far, currents: FPC, XTH, JGD, HRM, RTV, RFN; next step: LEFT
 -           42 steps so far, currents: SFD, JFG, KNG, PBG, BKJ, XRB; next step: LEFT
 -           43 steps so far, currents: BCN, HRL, GRC, FHB, RDX, XJL; next step: RIGHT
 -           44 steps so far, currents: DMN, JXD, GVD, LTF, XTN, MHS; next step: RIGHT
 -           45 steps so far, currents: DPV, FMJ, QHP, FDX, VDM, LSD; next step: LEFT
 -           46 steps so far, currents: GGP, NDM, RXL, MQF, QLR, NJM; next step: RIGHT
 -           47 steps so far, currents: TVQ, RKN, BDP, FGT, QJH, LSL; next step: RIGHT
 -           48 steps so far, currents: CFH, TQV, CFC, KBF, STK, RHC; next step: RIGHT
 -           49 steps so far, currents: DXR, MTD, XPD, DGC, LNP, GQL; next step: LEFT
 -           50 steps so far, currents: NPS, GBJ, PFL, QDM, PHM, HDR; next step: RIGHT
 -           51 steps so far, currents: JBG, TPX, QLQ, CVP, CJM, FGS; next step: RIGHT
